Numÿro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriÿtaire
477017;6.181666666666667;48.68055555555556;"48ÿ40'50.000""N 6ÿ10'54.000""E";54395;"";"100 AV DU GL LECLERC TOUR DE L'ETOILE";54000;NANCY;Immeuble;67.0;"Copropriÿtÿ, Syndic, SCI"
486936;6.186111111111111;48.66111111111111;"48ÿ39'40.000""N 6ÿ11'10.000""E";54547;"";2 ALL DE BREDA TOUR 13 BREDA;54500;VANDOEUVRE LES NANCY;Immeuble;61.0;Sociÿtÿ HLM
492249;6.159722222222222;48.660833333333336;"48ÿ39'39.000""N 6ÿ9'35.000""E";54547;"";104 AV JEAN JAURES;54500;VANDOEUVRE LES NANCY;Immeuble;18.2;Particulier
504082;6.174722222222222;48.690555555555555;"48ÿ41'26.000""N 6ÿ10'29.000""E";54395;"";4 R PIROUX TOUR THIERS;54000;NANCY;Immeuble;102.0;"Copropriÿtÿ, Syndic, SCI"
507023;6.282777777777778;48.75611111111111;"48ÿ45'22.000""N 6ÿ16'58.000""E";54012;COUTURES LE GRAND MONT;"";54770;AMANCE;Tour hertzienne;34.0;TDF
513283;6.179166666666666;48.62083333333333;"48ÿ37'15.000""N 6ÿ10'45.000""E";54328;"";301 R BLAISE PASCAL CENTRAL TÿLÿPHONIQUE;54710;LUDRES;Pylÿne autostable;40.0;TOTEM
515743;6.189166666666667;48.63611111111111;"48ÿ38'10.000""N 6ÿ11'21.000""E";54197;PRAYS;VOIE COMMUNALE;54710;FLEVILLE DEVANT NANCY;Pylÿne autostable;27.0;TOTEM
527968;6.075555555555556;48.74305555555556;"48ÿ44'35.000""N 6ÿ4'32.000""E";54318;LE GRAND BOIS;BOIS DE LA FOURASSE SITE TDF;54460;LIVERDUN;Pylÿne autostable;53.0;TDF
549451;6.194444444444445;48.6475;"48ÿ38'51.000""N 6ÿ11'40.000""E";54257;"";"AV DES ERABLES PARC D'ACTIVITÿS OUEST";54180;HEILLECOURT;Pylÿne autostable;35.0;ATC FRANCE
554483;6.1625;48.654444444444444;"48ÿ39'16.000""N 6ÿ9'45.000""E";54547;"";2 RUE DOYEN JACQUES PARISOT CENTRE DE MEDECINE PREVENTIVE;54500;VANDOEUVRE LES NANCY;Immeuble;51.2;Etablissement de soins
556525;6.239722222222222;48.708888888888886;"48ÿ42'32.000""N 6ÿ14'23.000""E";54184;"";118 AV DU 69 EME RI FOYER SONACOTRA;54270;ESSEY LES NANCY;Bÿtiment;20.0;Sociÿtÿ HLM
