Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
1377800;5.0675;43.39611111111111;"43°23'46.000""N 5°4'3.000""E";13056;"";24 CHEMIN ST LAZARE;13500;MARTIGUES;Bâtiment;13.5;Particulier
1385965;5.599166666666667;43.183055555555555;"43°10'59.000""N 5°35'57.000""E";13028;"";AV JULES FERRY;13600;CIOTAT;Pylône tubulaire;29.0;TDF
1399236;5.102777777777778;43.39861111111111;"43°23'55.000""N 5°6'10.000""E";13026;LA MEDE;568 AVENUE DE MIRABEAU RAFFINERIES TOTAL;13220;CHATEAUNEUF LES MARTIGUES;Immeuble;14.0;Société Privée
1402178;5.365;43.276666666666664;"43°16'36.000""N 5°21'54.000""E";13207;LE ROUCAS BLANC;2 CHEM DU SOUVENIR;13007;MARSEILLE 7E ARRONDISSEMENT;Bâtiment;18.3;Particulier
1414365;5.351388888888889;43.285833333333336;"43°17'9.000""N 5°21'5.000""E";13207;"";"4, BOULEVARD DES DARDANELLES";13007;MARSEILLE 7E ARRONDISSEMENT;Immeuble;22.7;"Copropriété, Syndic, SCI"
1415397;5.416388888888889;43.31194444444444;"43°18'43.000""N 5°24'59.000""E";13212;"";86 BD HENRI FABRE RÉS LE MASSÉNA;13012;MARSEILLE 12E ARRONDISSEMENT;Immeuble;18.8;"Copropriété, Syndic, SCI"
1429281;5.3925;43.265;"43°15'54.000""N 5°23'33.000""E";13208;"";201-203 AV DE MAZARGUES;13008;MARSEILLE 8E ARRONDISSEMENT;Immeuble;23.0;Société Privée
1432640;5.381944444444445;43.29;"43°17'24.000""N 5°22'55.000""E";13206;"";2 RUE ALBERT CHABANON;13006;MARSEILLE 6E ARRONDISSEMENT;Immeuble;31.2;"Copropriété, Syndic, SCI"
1433875;5.368888888888889;43.31027777777778;"43°18'37.000""N 5°22'8.000""E";13202;"";"78/88/90, BD DE DUNKERQUE ILOT M1";13002;MARSEILLE 2E ARRONDISSEMENT;Immeuble;45.0;Société HLM
1436101;5.363611111111111;43.30722222222222;"43°18'26.000""N 5°21'49.000""E";13202;"";QUAI DES ANGLAIS LES TERRASSES DU PORT;13002;MARSEILLE 2E ARRONDISSEMENT;Bâtiment;30.0;Société Privée
