Numéro de mesure;Service;Bande;Niveau mesuré;Niveau extrapolé
171966;DECT (Téléphone domestique);1880-1900;"";""
171967;DECT (Téléphone domestique);1880-1900;0.08;""
171968;DECT (Téléphone domestique);1880-1900;0.05;""
171969;DECT (Téléphone domestique);1880-1900;"";""
171970;DECT (Téléphone domestique);1880-1900;"";""
171971;DECT (Téléphone domestique);1880-1900;"";""
171972;DECT (Téléphone domestique);1880-1900;"";""
171973;DECT (Téléphone domestique);1880-1900;"";""
171975;DECT (Téléphone domestique);1880-1900;"";""
171976;DECT (Téléphone domestique);1880-1900;"";""
171978;DECT (Téléphone domestique);1880-1900;"";""
171979;DECT (Téléphone domestique);1880-1900;"";""
171980;DECT (Téléphone domestique);1880-1900;"";""
171982;DECT (Téléphone domestique);1880-1900;"";""
171983;DECT (Téléphone domestique);1880-1900;"";""
171984;DECT (Téléphone domestique);1880-1900;"";""
171986;DECT (Téléphone domestique);1880-1900;"";""
171987;DECT (Téléphone domestique);1880-1900;"";""
171988;DECT (Téléphone domestique);1880-1900;"";""
171989;DECT (Téléphone domestique);1880-1900;"";""
171990;DECT (Téléphone domestique);1880-1900;"";""
171992;DECT (Téléphone domestique);1880-1900;"";""
171993;DECT (Téléphone domestique);1880-1900;"";""
171995;DECT (Téléphone domestique);1880-1900;"";""
171996;DECT (Téléphone domestique);1880-1900;"";""
171998;DECT (Téléphone domestique);1880-1900;"";""
171999;DECT (Téléphone domestique);1880-1900;"";""
172000;DECT (Téléphone domestique);1880-1900;"";""
172001;DECT (Téléphone domestique);1880-1900;"";""
172003;DECT (Téléphone domestique);1880-1900;"";""
172005;DECT (Téléphone domestique);1880-1900;"";""
172006;DECT (Téléphone domestique);1880-1900;"";""
172008;DECT (Téléphone domestique);1880-1900;"";""
172010;DECT (Téléphone domestique);1880-1900;"";""
172011;DECT (Téléphone domestique);1880-1900;"";""
172012;DECT (Téléphone domestique);1880-1900;"";""
172013;DECT (Téléphone domestique);1880-1900;"";""
172014;DECT (Téléphone domestique);1880-1900;"";""
172018;DECT (Téléphone domestique);1880-1900;"";""
172044;DECT (Téléphone domestique);1880-1900;"";""
172082;DECT (Téléphone domestique);1880-1900;"";""
172083;DECT (Téléphone domestique);1880-1900;"";""
172084;DECT (Téléphone domestique);1880-1900;0.11;""
172101;DECT (Téléphone domestique);1880-1900;"";""
172114;DECT (Téléphone domestique);1880-1900;0.06;""
172115;DECT (Téléphone domestique);1880-1900;"";""
172116;DECT (Téléphone domestique);1880-1900;"";""
172117;DECT (Téléphone domestique);1880-1900;"";""
172118;DECT (Téléphone domestique);1880-1900;"";""
172119;DECT (Téléphone domestique);1880-1900;"";""
172120;DECT (Téléphone domestique);1880-1900;"";""
