Numéro de mesure;Longitude;Latitude;Position;Insee;Adresse;Complément;Code postal;Commune;Date de mesure;Mesure réalisée;Rapport;Conformité de la mesure;Niveau global;"Type d'environnement";laboratoire
177202;1.982002;48.773946;"48°46'26.206""N 1°58'55.207""E";78621;Rue Alexandra David Neel;"";78190;TRAPPES;25/08/2022;En extérieur;RPUB_150355.pdf;Oui;0.96;Rue / Route / Parking;EXEM
177205;1.898253;48.726105;"48°43'33.978""N 1°53'53.711""E";78220;Rue Georges Pompidou;"";78690;ESSARTS LE ROI;25/08/2022;En extérieur;RPUB_150354.pdf;Oui;1.15;Rue / Route / Parking;EXEM
177209;2.338007;48.868131;"48°52'5.272""N 2°20'16.825""E";75102;Rue de Richelieu;"";75002;PARIS 2E ARRONDISSEMENT;24/08/2022;En extérieur;RPUB_150361.pdf;Oui;0.43;Rue / Route / Parking;EXEM
177213;2.076523;48.719381;"48°43'9.772""N 2°4'35.483""E";78356;Rue Mendès France;"";78114;MAGNY LES HAMEAUX;25/08/2022;En extérieur;RPUB_150357.pdf;Oui;0.61;Rue / Route / Parking;EXEM
177214;2.340496;48.869719;"48°52'10.988""N 2°20'25.786""E";75102;Rue Vivienne;"";75002;PARIS 2E ARRONDISSEMENT;24/08/2022;En extérieur;RPUB_150360.pdf;Oui;2.82;Rue / Route / Parking;EXEM
177218;2.015262;48.771323;"48°46'16.763""N 2°0'54.943""E";78423;Route de Trappes;"";78180;MONTIGNY LE BRETONNEUX;25/08/2022;En extérieur;RPUB_150356.pdf;Oui;1.12;Rue / Route / Parking;EXEM
177227;2.278719;48.851275;"48°51'4.590""N 2°16'43.388""E";75116;Rue Maurice Bourdet;"";75016;PARIS 16E ARRONDISSEMENT;24/08/2022;En extérieur;RPUB_150359.pdf;Oui;2.61;Rue / Route / Parking;EXEM
177230;2.106478;48.701739;"48°42'6.260""N 2°6'23.321""E";91272;Route du Val Courcelle;"";91190;GIF SUR YVETTE;25/08/2022;En extérieur;RPUB_150348.pdf;Oui;0.65;Rue / Route / Parking;EXEM
177236;2.062254;48.760468;"48°45'37.685""N 2°3'44.114""E";78688;Rue René Caudron;"";78960;VOISINS LE BRETONNEUX;25/08/2022;En extérieur;RPUB_150407.pdf;Oui;3.04;Rue / Route / Parking;EXEM
177239;2.046633;48.786453;"48°47'11.231""N 2°2'47.879""E";78423;Avenue de la Gare;"";78180;MONTIGNY LE BRETONNEUX;26/08/2022;En extérieur;RPUB_150408.pdf;Oui;1.68;Rue / Route / Parking;EXEM
177243;2.03481;48.780698;"48°46'50.513""N 2°2'5.316""E";78423;Allée des Epines;"";78180;MONTIGNY LE BRETONNEUX;25/08/2022;En extérieur;RPUB_150409.pdf;Oui;0.52;Rue / Route / Parking;EXEM
177255;2.045882;48.794249;"48°47'39.296""N 2°2'45.175""E";78423;Avenue Ampère;"";78180;MONTIGNY LE BRETONNEUX;26/08/2022;En extérieur;RPUB_150410.pdf;Oui;1.22;Rue / Route / Parking;EXEM
177291;2.169499;48.770439;"48°46'13.580""N 2°10'10.196""E";78322;Rue des Marnières;"";78350;JOUY EN JOSAS;29/08/2022;En intérieur;RPUB_150452.pdf;Oui;0.33;"Lieu d'habitation";EXEM
177297;2.027557;48.766918;"48°46'0.905""N 2°1'39.205""E";78423;Rue Henri Cochet;"";78180;MONTIGNY LE BRETONNEUX;29/08/2022;En extérieur;RPUB_150449.pdf;Oui;1.13;Rue / Route / Parking;EXEM
177308;2.170315;48.772963;"48°46'22.667""N 2°10'13.134""E";78322;Rue Jean Moulin;"";78350;JOUY EN JOSAS;29/08/2022;En extérieur;RPUB_150481.pdf;Oui;0.18;"Lieu d'habitation";EXEM
177309;2.392681;48.884141;"48°53'2.908""N 2°23'33.652""E";75119;Rue de la Solidarité;"";75019;PARIS 19E ARRONDISSEMENT;29/08/2022;En extérieur;RPUB_150463.pdf;Oui;1.57;Rue / Route / Parking;EXEM
177310;2.385063;48.885291;"48°53'7.048""N 2°23'6.227""E";75119;Rue Petit;"";75019;PARIS 19E ARRONDISSEMENT;29/08/2022;En extérieur;RPUB_150462.pdf;Oui;1.66;Rue / Route / Parking;EXEM
177312;2.143621;48.946004;"48°56'45.614""N 2°8'37.036""E";78358;Place de Libération;"";78600;MAISONS LAFFITTE;30/08/2022;En extérieur;RPUB_150457.pdf;Oui;1.1;Rue / Route / Parking;EXEM
177314;2.169864;48.772921;"48°46'22.516""N 2°10'11.510""E";78322;Rue Jean Moulin;"";78350;JOUY EN JOSAS;29/08/2022;En intérieur;RPUB_150482.pdf;Oui;0.31;"Lieu d'habitation";EXEM
177321;2.169757;48.958165;"48°57'29.394""N 2°10'11.125""E";78358;Avenue de la Pelouse;"";78600;MAISONS LAFFITTE;30/08/2022;En extérieur;RPUB_150458.pdf;Oui;1.66;Rue / Route / Parking;EXEM
177322;2.170293;48.770467;"48°46'13.681""N 2°10'13.055""E";78322;Rue des Marnières;"";78350;JOUY EN JOSAS;29/08/2022;En intérieur;RPUB_150483.pdf;Oui;0.46;"Lieu d'habitation";EXEM
177323;2.287345;48.91418;"48°54'51.048""N 2°17'14.442""E";92004;Rue du Révérend Père Christian Gilbert;"";92600;ASNIERES SUR SEINE;30/08/2022;En extérieur;RPUB_150488.pdf;Oui;5.63;"Lieu d'habitation";EXEM
177324;2.258677;48.775615;"48°46'32.214""N 2°15'31.237""E";92060;Rue Fernand Fourcade;"";92350;PLESSIS ROBINSON;30/08/2022;En intérieur;RPUB_150480.pdf;Oui;0.71;"Lieu d'habitation";EXEM
177326;2.36897;48.889672;"48°53'22.819""N 2°22'8.292""E";75119;Rue Riquet;"";75019;PARIS 19E ARRONDISSEMENT;29/08/2022;En extérieur;RPUB_150461.pdf;Oui;1.59;Rue / Route / Parking;EXEM
177327;2.372704;48.891217;"48°53'28.381""N 2°22'21.734""E";75119;Rue Mathis;"";75019;PARIS 19E ARRONDISSEMENT;29/08/2022;En extérieur;RPUB_150460.pdf;Oui;1.81;Rue / Route / Parking;EXEM
177328;2.159607;48.925291;"48°55'31.048""N 2°9'34.585""E";78586;Rue du Bas de la Plaine;"";78500;SARTROUVILLE;30/08/2022;En extérieur;RPUB_150459.pdf;Oui;1.59;Rue / Route / Parking;EXEM
177345;2.325733;48.887274;"48°53'14.186""N 2°19'32.639""E";75117;Avenue de Clichy;"";75017;PARIS 17E ARRONDISSEMENT;30/08/2022;En extérieur;RPUB_150501.pdf;Oui;1.38;Rue / Route / Parking;EXEM
177350;1.759443;48.989328;"48°59'21.581""N 1°45'33.995""E";78335;Rue Fernand Forest;"";78520;LIMAY;31/08/2022;En extérieur;RPUB_150494.pdf;Oui;1.29;Rue / Route / Parking;EXEM
177356;2.294769;48.889679;"48°53'22.844""N 2°17'41.168""E";75117;Rue Maurice Ravel;"";75017;PARIS 17E ARRONDISSEMENT;30/08/2022;En extérieur;RPUB_150498.pdf;Oui;1.52;Rue / Route / Parking;EXEM
177361;2.181258;48.937731;"48°56'15.832""N 2°10'52.529""E";78586;Rue Gabriel Péri;"";78500;SARTROUVILLE;30/08/2022;En extérieur;RPUB_150492.pdf;Oui;1.8;Rue / Route / Parking;EXEM
177362;1.743028;48.999936;"48°59'59.770""N 1°44'34.901""E";78335;Allée des Croms;"";78520;LIMAY;31/08/2022;En extérieur;RPUB_150493.pdf;Oui;4.15;Rue / Route / Parking;EXEM
177363;2.325132;48.896613;"48°53'47.807""N 2°19'30.475""E";75117;Rue Jacques Kellner;"";75017;PARIS 17E ARRONDISSEMENT;30/08/2022;En extérieur;RPUB_150496.pdf;Oui;0.86;Rue / Route / Parking;EXEM
177364;1.745946;48.994214;"48°59'39.170""N 1°44'45.406""E";78335;Rue des hautes Meunières;"";78520;LIMAY;31/08/2022;En extérieur;RPUB_150495.pdf;Oui;0.98;Rue / Route / Parking;EXEM
177372;2.169564;48.770969;"48°46'15.488""N 2°10'10.430""E";78322;Rue des Marnières;"";78350;JOUY EN JOSAS;31/08/2022;En intérieur;RPUB_150529.pdf;Oui;0.45;"Lieu d'habitation";EXEM
177377;2.323201;48.895929;"48°53'45.344""N 2°19'23.524""E";75117;Rue Navier;"";75017;PARIS 17E ARRONDISSEMENT;30/08/2022;En extérieur;RPUB_150499.pdf;Oui;1.63;Rue / Route / Parking;EXEM
177378;2.168791;48.770651;"48°46'14.344""N 2°10'7.648""E";78322;Rue des Marnières;"";78350;JOUY EN JOSAS;31/08/2022;En intérieur;RPUB_150531.pdf;Oui;0.73;"Lieu d'habitation";EXEM
177379;2.318802;48.883831;"48°53'1.792""N 2°19'7.687""E";75117;Rue de Rome;"";75017;PARIS 17E ARRONDISSEMENT;30/08/2022;En extérieur;RPUB_150500.pdf;Oui;1.93;Rue / Route / Parking;EXEM
177380;2.169435;48.77133;"48°46'16.788""N 2°10'9.966""E";78322;Rue des Fonds;"";78350;JOUY EN JOSAS;31/08/2022;En intérieur;RPUB_150530.pdf;Oui;0.85;"Lieu d'habitation";EXEM
177383;2.285028;48.88091;"48°52'51.276""N 2°17'6.101""E";75117;Place du Général Koenig;"";75017;PARIS 17E ARRONDISSEMENT;30/08/2022;En extérieur;RPUB_150497.pdf;Oui;4.67;Rue / Route / Parking;EXEM
177387;2.371223;48.874962;"48°52'29.863""N 2°22'16.403""E";75110;Rue de Sambre-et-Meuse;"";75010;PARIS 10E ARRONDISSEMENT;31/08/2022;En extérieur;RPUB_150545.pdf;Oui;1.54;Rue / Route / Parking;EXEM
177391;2.124867;48.808729;"48°48'31.424""N 2°7'29.521""E";78646;Rue des Réservoirs;"";78000;VERSAILLES;31/08/2022;En extérieur;RPUB_150543.pdf;Oui;1.02;Rue / Route / Parking;EXEM
177394;2.400942;48.969428;"48°58'9.941""N 2°24'3.391""E";95268;Rue Auguste Perret;"";95140;GARGES LES GONESSE;01/09/2022;En extérieur;RPUB_150537.pdf;Oui;0.89;Rue / Route / Parking;EXEM
177399;2.344401;48.899836;"48°53'59.410""N 2°20'39.844""E";75118;Avenue de la Porte de Clignancourt;"";75018;PARIS 18E ARRONDISSEMENT;31/08/2022;En extérieur;RPUB_150544.pdf;Oui;2.72;Rue / Route / Parking;EXEM
177401;2.349787;48.858101;"48°51'29.164""N 2°20'59.233""E";75104;Rue de Rivoli;"";75004;PARIS 4E ARRONDISSEMENT;31/08/2022;En extérieur;RPUB_150548.pdf;Oui;1.8;Rue / Route / Parking;EXEM
177402;2.33968;48.881785;"48°52'54.426""N 2°20'22.848""E";75109;Rue des Martyrs;"";75009;PARIS 9E ARRONDISSEMENT;31/08/2022;En extérieur;RPUB_150547.pdf;Oui;1.59;Rue / Route / Parking;EXEM
177403;2.327278;48.877481;"48°52'38.932""N 2°19'38.201""E";75109;Place de Budapest;"";75009;PARIS 9E ARRONDISSEMENT;31/08/2022;En extérieur;RPUB_150549.pdf;Oui;2.57;Rue / Route / Parking;EXEM
177404;2.38766;48.96921;"48°58'9.156""N 2°23'15.576""E";95268;Avenue Pierre Sémard;"";95140;GARGES LES GONESSE;01/09/2022;En intérieur;RPUB_150574.pdf;Oui;0.18;"Lieu d'habitation";EXEM
177405;2.398968;48.970449;"48°58'13.616""N 2°23'56.285""E";95268;Avenue de la Commune de Paris;"";95140;GARGES LES GONESSE;01/09/2022;En extérieur;RPUB_150536.pdf;Oui;0.95;Rue / Route / Parking;EXEM
