Numéro du support;Longitude;Latitude;Position;Insee;Lieu dit;Adresse;Code postal;Commune;Nature du support;Hauteur en m;Propriétaire
749970;-1.653888888888889;48.09916666666667;"48°5'57.000""N 1°39'14.000""W";35238;"";21 BD LÉON BOURGEOIS IMM LE LANDRY;35000;RENNES;Immeuble;42.3;"Copropriété, Syndic, SCI"
750228;-1.6216666666666666;48.11472222222222;"48°6'53.000""N 1°37'18.000""W";35051;"";9002 R DE RENNES;35510;CESSON SEVIGNE;Immeuble;15.0;Particulier
750240;-1.7866666666666666;48.093333333333334;"48°5'36.000""N 1°47'12.000""W";35240;"";IMP DE GERHOUI;35650;RHEU;Pylône tubulaire;35.0;TOTEM
750253;-1.6066666666666667;48.11222222222222;"48°6'44.000""N 1°36'24.000""W";35051;"";13 AV DES PEUPLIERS;35510;CESSON SEVIGNE;Pylône tubulaire;22.0;TOTEM
750263;-1.5894444444444444;48.125;"48°7'30.000""N 1°35'22.000""W";35051;"";BD DE DÉZZERSEUL;35510;CESSON SEVIGNE;Pylône autostable;22.0;TOTEM
750269;-1.6263888888888889;48.08611111111111;"48°5'10.000""N 1°37'35.000""W";35055;"";R DES LOGES;35135;CHANTEPIE;Pylône autostable;14.0;TOTEM
750290;-1.7294444444444443;48.08361111111111;"48°5'1.000""N 1°43'46.000""W";35281;"";BD DE LA HAIE DES COGNETS;35136;SAINT JACQUES DE LA LANDE;Pylône autostable;28.0;TOTEM
750292;-1.681111111111111;48.098333333333336;"48°5'54.000""N 1°40'52.000""W";35238;"";1 R DE VILLENEUVE  EGLISE SACRÉ COEUR;35000;RENNES;Monument religieux;35.0;Association
750312;-1.6894444444444443;48.158611111111114;"48°9'31.000""N 1°41'22.000""W";35278;"";6 R DE BELLE ILE;35760;SAINT GREGOIRE;Pylône autostable;16.0;TOTEM
750323;-1.6905555555555556;48.08694444444444;"48°5'13.000""N 1°41'26.000""W";35238;"";ALL PIERRE DE COUBERTIN PLAINE DE JEUX DE BREQUIGNY;35000;RENNES;Pylône tubulaire;30.0;TOTEM
750328;-1.6880555555555556;48.12638888888889;"48°7'35.000""N 1°41'17.000""W";35238;"";"R PIERRE LANGLAIS AV D'ILE DE FRANCE";35000;RENNES;Immeuble;16.0;"Copropriété, Syndic, SCI"
750336;-1.6994444444444445;48.11472222222222;"48°6'53.000""N 1°41'58.000""W";35238;"";R HENRY LE GUILLOUX;35000;RENNES;Pylône tubulaire;21.0;TOTEM
